step,loss,lr
1,4.2031,2.0000000000000002e-07
2500,4.1332,9.595959595959596e-05
step,loss,lr
1,4.2031,2.0000000000000002e-07
2500,4.1252,9.595959595959596e-05
5000,3.4263,9.091111111111111e-05
7500,2.5758,8.586262626262627e-05
10000,1.9736,8.081212121212122e-05
12500,1.5165,7.576565656565657e-05
15000,1.1389,7.071717171717171e-05
17500,0.8463,6.566868686868687e-05
20000,0.6471,6.062020202020202e-05
22500,0.5207,5.556969696969697e-05
25000,0.4361,5.0523232323232325e-05
27500,0.3781,4.547272727272727e-05
30000,0.3403,4.042424242424243e-05
32500,0.3107,3.537777777777778e-05
35000,0.286,3.032929292929293e-05
37500,0.2675,2.5280808080808084e-05
40000,0.2521,2.0232323232323234e-05
42500,0.2428,1.5185858585858586e-05
45000,0.2349,1.0137373737373738e-05
47500,0.2302,5.088888888888889e-06
50000,0.227,4.040404040404041e-08
50000,0.9988058800792694,None
step,loss,lr
1,4.6841,1.4285714285714287e-07
2500,4.4184,9.74025974025974e-05
5000,4.0113,9.379653679653681e-05
7500,3.1317,9.01919191919192e-05
10000,2.2183,8.658441558441559e-05
12500,1.5554,8.297979797979798e-05
15000,1.1778,7.937518037518039e-05
17500,0.8836,7.576911976911976e-05
20000,0.6759,7.216161616161616e-05
22500,0.5308,6.855555555555556e-05
25000,0.4327,6.494949494949495e-05
27500,0.3611,6.134343434343435e-05
30000,0.3137,5.7737373737373744e-05
32500,0.2745,5.4131313131313136e-05
35000,0.2458,5.052525252525253e-05
37500,0.2222,4.6919191919191926e-05
40000,0.2056,4.331457431457432e-05
42500,0.1896,3.970851370851371e-05
45000,0.1796,3.610245310245311e-05
47500,0.1683,3.24963924963925e-05
50000,0.1598,2.889033189033189e-05
52500,0.1522,2.528427128427129e-05
55000,0.1471,2.167676767676768e-05
57500,0.1433,1.807070707070707e-05
60000,0.1386,1.4464646464646464e-05
62500,0.136,1.085858585858586e-05
65000,0.134,7.252525252525252e-06
67500,0.132,3.6464646464646467e-06
70000,0.1319,4.040404040404041e-08
70000,0.8025474784510477,None
