step,loss,lr
1,2.3908,1.0000000000000001e-07
step,loss,lr
1,2.3908,1.0000000000000001e-07
2500,2.3738,9.848484848484849e-05
5000,2.0615,9.595959595959596e-05
7500,1.4429,9.343434343434344e-05
10000,1.0251,9.091010101010101e-05
12500,0.7488,8.83858585858586e-05
15000,0.5677,8.586161616161616e-05
17500,0.4388,8.333737373737374e-05
20000,0.3376,8.081313131313132e-05
22500,0.2682,7.828888888888889e-05
25000,0.216,7.576464646464648e-05
27500,0.1799,7.324141414141414e-05
30000,0.1536,7.071717171717171e-05
32500,0.1331,6.81929292929293e-05
35000,0.1168,6.566868686868687e-05
37500,0.1034,6.314343434343435e-05
40000,0.093,6.061919191919192e-05
42500,0.0837,5.80949494949495e-05
45000,0.0762,5.557070707070707e-05
47500,0.0693,5.3047474747474747e-05
50000,0.0638,5.0523232323232325e-05
52500,0.0596,4.7998989898989896e-05
55000,0.0553,4.5474747474747475e-05
57500,0.0516,4.295050505050505e-05
60000,0.0489,4.042626262626263e-05
62500,0.0461,3.790303030303031e-05
65000,0.0439,3.537878787878788e-05
67500,0.0418,3.285454545454546e-05
70000,0.04,3.032929292929293e-05
72500,0.0385,2.7806060606060607e-05
75000,0.0371,2.5280808080808084e-05
77500,0.0357,2.2756565656565655e-05
80000,0.0346,2.0232323232323234e-05
82500,0.0337,1.770808080808081e-05
85000,0.0328,1.5183838383838383e-05
87500,0.0319,1.265959595959596e-05
90000,0.0312,1.0136363636363636e-05
92500,0.0305,7.611111111111112e-06
95000,0.03,5.086868686868687e-06
97500,0.0297,2.5626262626262627e-06
100000,0.0295,3.838383838383838e-08
100000,0.28339291469335554,None
