step,loss,lr
1,2.1551,1.0000000000000001e-07
step,loss,lr
1,2.1551,1.0000000000000001e-07
2500,2.0063,9.848484848484849e-05
5000,1.546,9.595959595959596e-05
7500,1.082,9.343434343434344e-05
10000,0.8169,9.091010101010101e-05
12500,0.6457,8.83858585858586e-05
15000,0.5243,8.586161616161616e-05
17500,0.4406,8.333737373737374e-05
20000,0.3781,8.081313131313132e-05
22500,0.3241,7.828989898989898e-05
25000,0.2838,7.576565656565657e-05
27500,0.248,7.324141414141414e-05
30000,0.2168,7.071717171717171e-05
32500,0.1955,6.81929292929293e-05
35000,0.1727,6.566868686868687e-05
37500,0.1524,6.314444444444445e-05
40000,0.134,6.062020202020202e-05
42500,0.1174,5.8095959595959604e-05
45000,0.1038,5.5571717171717175e-05
47500,0.0928,5.3047474747474747e-05
50000,0.0849,5.0523232323232325e-05
52500,0.078,4.7998989898989896e-05
55000,0.0716,4.547575757575758e-05
57500,0.0662,4.295050505050505e-05
60000,0.0613,4.042626262626263e-05
62500,0.0573,3.79020202020202e-05
65000,0.0536,3.537878787878788e-05
67500,0.0501,3.285454545454546e-05
70000,0.0469,3.0330303030303032e-05
72500,0.0443,2.7806060606060607e-05
75000,0.0421,2.5281818181818185e-05
77500,0.0404,2.2757575757575757e-05
80000,0.0387,2.0233333333333335e-05
82500,0.0374,1.771010101010101e-05
85000,0.0361,1.5185858585858586e-05
87500,0.0348,1.2660606060606061e-05
90000,0.034,1.0137373737373738e-05
92500,0.0334,7.613131313131313e-06
95000,0.0329,5.088888888888889e-06
97500,0.0327,2.5636363636363638e-06
100000,0.0324,3.93939393939394e-08
100000,0.2622557224035263,None
