step,loss,lr
1,2.5354,2.0000000000000002e-07
2500,2.2573,9.595959595959596e-05
5000,2.2088,9.091111111111111e-05
7500,2.2044,8.586262626262627e-05
10000,2.2029,8.081414141414143e-05
12500,2.2038,7.576565656565657e-05
15000,2.2021,7.071717171717171e-05
17500,2.2008,6.566868686868687e-05
20000,2.2017,6.062020202020202e-05
22500,2.2001,5.5571717171717175e-05
25000,2.1991,5.0523232323232325e-05
27500,2.1991,4.5474747474747475e-05
30000,2.1984,4.042626262626263e-05
32500,2.1975,3.537979797979798e-05
35000,2.1986,3.0331313131313134e-05
37500,2.1962,2.5282828282828287e-05
40000,2.1966,2.0234343434343436e-05
42500,2.1966,1.5185858585858586e-05
45000,2.1956,1.0137373737373738e-05
47500,2.1959,5.088888888888889e-06
50000,2.1956,4.040404040404041e-08
50000,2.2025605026960373,None
