step,loss,lr
1,2.5985,2.0000000000000002e-07
2500,2.2399,9.595959595959596e-05
5000,2.2066,9.091111111111111e-05
7500,2.2042,8.586262626262627e-05
10000,2.2018,8.081414141414143e-05
12500,2.1994,7.576767676767678e-05
15000,2.1981,7.071919191919192e-05
17500,2.1976,6.567070707070707e-05
20000,2.1941,6.062222222222222e-05
22500,2.1938,5.557575757575758e-05
25000,2.191,5.052727272727274e-05
27500,2.1898,4.547878787878788e-05
30000,2.1877,4.043030303030304e-05
32500,2.1858,3.538383838383838e-05
35000,2.1854,3.033535353535354e-05
37500,2.1826,2.5286868686868686e-05
40000,2.1838,2.023838383838384e-05
42500,2.1805,1.518989898989899e-05
45000,2.1798,1.0143434343434343e-05
47500,2.1787,5.0949494949494954e-06
50000,2.178,4.646464646464647e-08
50000,2.192939157600403,None
