step,loss,lr
1,0.7147,2.0000000000000002e-07
step,loss,lr
1,0.7206,2.0000000000000002e-07
2500,0.4491,9.595959595959596e-05
5000,0.4328,9.090909090909092e-05
7500,0.4324,8.585858585858586e-05
10000,0.4323,8.080808080808081e-05
12500,0.4318,7.576161616161616e-05
15000,0.4319,7.071313131313132e-05
17500,0.4316,6.566464646464648e-05
20000,0.4313,6.061616161616161e-05
22500,0.4315,5.556969696969697e-05
25000,0.4312,5.052121212121212e-05
27500,0.4313,4.547272727272727e-05
30000,0.431,4.042424242424243e-05
32500,0.4309,3.537777777777778e-05
35000,0.4308,3.032929292929293e-05
37500,0.4308,2.5280808080808084e-05
40000,0.4307,2.0232323232323234e-05
42500,0.4306,1.5183838383838383e-05
45000,0.4305,1.0135353535353535e-05
47500,0.4307,5.086868686868687e-06
50000,0.4304,4.040404040404041e-08
50000,0.4321853586041927,None
