step,loss,lr
1,2.498,1.4285714285714287e-07
2500,2.2015,9.74025974025974e-05
5000,2.1654,9.379653679653681e-05
7500,2.1593,9.018903318903319e-05
10000,2.1564,8.658297258297259e-05
12500,2.1551,8.297691197691198e-05
15000,2.1537,7.937229437229437e-05
17500,2.1536,7.576623376623378e-05
20000,2.1519,7.216017316017316e-05
22500,2.1517,6.855411255411256e-05
25000,2.1516,6.494805194805194e-05
27500,2.1516,6.134343434343435e-05
30000,2.1506,5.7737373737373744e-05
32500,2.1512,5.4131313131313136e-05
35000,2.1508,5.052525252525253e-05
37500,2.1501,4.6919191919191926e-05
40000,2.1504,4.331457431457432e-05
42500,2.151,3.970851370851371e-05
45000,2.1495,3.610245310245311e-05
47500,2.1495,3.24963924963925e-05
50000,2.1496,2.8891774891774893e-05
52500,2.1503,2.5285714285714285e-05
55000,2.1501,2.167965367965368e-05
57500,2.1486,1.8073593073593072e-05
60000,2.1496,1.4468975468975471e-05
62500,2.1487,1.0862914862914863e-05
65000,2.1498,7.256854256854258e-06
67500,2.1497,3.650793650793651e-06
70000,2.1488,4.617604617604618e-08
70000,2.1535792192561285,None
