step,loss,lr
1,2.4661,1.4285714285714287e-07
2500,2.26,9.74025974025974e-05
5000,2.2338,9.379797979797981e-05
7500,2.2271,9.019047619047619e-05
10000,2.2247,8.658297258297259e-05
12500,2.2232,8.297691197691198e-05
15000,2.2225,7.937085137085138e-05
17500,2.2206,7.576623376623378e-05
20000,2.2206,7.215873015873016e-05
22500,2.2196,6.855411255411256e-05
25000,2.2197,6.494805194805194e-05
27500,2.2195,6.134199134199135e-05
30000,2.2185,5.7735930735930745e-05
32500,2.2191,5.4131313131313136e-05
35000,2.2182,5.052525252525253e-05
37500,2.2194,4.6919191919191926e-05
40000,2.2177,4.331313131313132e-05
42500,2.2178,3.970707070707071e-05
45000,2.2184,3.610245310245311e-05
47500,2.2177,3.24963924963925e-05
50000,2.2179,2.889033189033189e-05
52500,2.2178,2.528427128427129e-05
55000,2.2178,2.167965367965368e-05
57500,2.2169,1.8073593073593072e-05
60000,2.2181,1.4467532467532469e-05
62500,2.2173,1.0861471861471862e-05
65000,2.2168,7.256854256854258e-06
67500,2.2185,3.650793650793651e-06
70000,2.2157,4.4733044733044734e-08
70000,2.2212511969498228,None
