step,loss,lr
1,2.5296,1.4285714285714287e-07
2500,1.9048,9.74025974025974e-05
5000,1.8547,9.379653679653681e-05
7500,1.849,9.01919191919192e-05
10000,1.845,8.658585858585859e-05
12500,1.8443,8.297835497835498e-05
15000,1.8408,7.937085137085138e-05
17500,1.8406,7.576623376623378e-05
20000,1.8383,7.215873015873016e-05
22500,1.8389,6.855122655122655e-05
25000,1.8388,6.494805194805194e-05
27500,1.8379,6.134054834054835e-05
30000,1.8368,5.7735930735930745e-05
32500,1.8389,5.412987012987013e-05
35000,1.836,5.052236652236653e-05
37500,1.8353,4.691774891774892e-05
40000,1.8359,4.331168831168831e-05
42500,1.8361,3.9705627705627704e-05
45000,1.8353,3.61010101010101e-05
47500,1.8342,3.2493506493506494e-05
50000,1.8352,2.8888888888888888e-05
52500,1.8361,2.5282828282828287e-05
55000,1.8357,2.1678210678210678e-05
57500,1.833,1.807070707070707e-05
60000,1.8343,1.4464646464646464e-05
62500,1.8349,1.0860028860028861e-05
65000,1.834,7.253968253968255e-06
67500,1.8347,3.647907647907648e-06
70000,1.8343,4.184704184704185e-08
70000,1.8404925753968102,None
