step,loss,lr
1,2.5049,1.4285714285714287e-07
2500,2.3346,9.740404040404042e-05
5000,2.3193,9.379653679653681e-05
7500,2.3125,9.018903318903319e-05
10000,2.3103,8.658297258297259e-05
12500,2.3082,8.297691197691198e-05
15000,2.3086,7.937085137085138e-05
17500,2.3067,7.576479076479077e-05
20000,2.3067,7.216017316017316e-05
22500,2.3061,6.855411255411256e-05
25000,2.3063,6.494805194805194e-05
27500,2.3051,6.134199134199135e-05
30000,2.3049,5.7737373737373744e-05
32500,2.3049,5.4131313131313136e-05
35000,2.3043,5.052525252525253e-05
37500,2.3042,4.6919191919191926e-05
40000,2.3043,4.331457431457432e-05
42500,2.3036,3.970851370851371e-05
45000,2.3031,3.610245310245311e-05
47500,2.3035,3.24963924963925e-05
50000,2.3023,2.889033189033189e-05
52500,2.3033,2.5285714285714285e-05
55000,2.3026,2.1681096681096683e-05
57500,2.3019,1.8073593073593072e-05
60000,2.3025,1.4467532467532469e-05
62500,2.3015,1.0860028860028861e-05
65000,2.3021,7.252525252525252e-06
67500,2.301,3.6464646464646467e-06
70000,2.3014,4.184704184704185e-08
70000,2.306278536442348,None
