step,loss,lr
1,2.5275,1.4285714285714287e-07
2500,2.2108,9.74025974025974e-05
5000,2.166,9.379509379509381e-05
7500,2.1581,9.019047619047619e-05
10000,2.1548,8.658441558441559e-05
12500,2.1536,8.297835497835498e-05
15000,2.1523,7.937085137085138e-05
17500,2.1512,7.576479076479077e-05
20000,2.1496,7.215873015873016e-05
22500,2.1492,6.855266955266955e-05
25000,2.1493,6.494660894660894e-05
27500,2.148,6.134199134199135e-05
30000,2.1468,5.773448773448774e-05
32500,2.147,5.412987012987013e-05
35000,2.1459,5.052380952380953e-05
37500,2.1457,4.691630591630592e-05
40000,2.1458,4.331168831168831e-05
42500,2.1444,3.9705627705627704e-05
45000,2.1438,3.60995670995671e-05
47500,2.1442,3.2493506493506494e-05
50000,2.1434,2.8887445887445892e-05
52500,2.1436,2.5281385281385284e-05
55000,2.1422,2.167676767676768e-05
57500,2.1423,1.807070707070707e-05
60000,2.1413,1.4464646464646464e-05
62500,2.1424,1.0857142857142858e-05
65000,2.1406,7.251082251082251e-06
67500,2.1404,3.6464646464646467e-06
70000,2.1412,4.040404040404041e-08
70000,2.1494309659378867,None
