step,loss,lr
1,2.6639,1.0000000000000001e-07
2500,2.609,9.848484848484849e-05
5000,2.6905,9.595959595959596e-05
7500,2.3694,9.343636363636365e-05
10000,2.002,9.091212121212122e-05
12500,1.6377,8.838888888888888e-05
15000,1.4033,8.586363636363637e-05
17500,1.1905,8.333939393939393e-05
20000,1.0228,8.081616161616162e-05
22500,0.9034,7.829090909090909e-05
25000,0.8167,7.576666666666667e-05
27500,0.7364,7.324343434343435e-05
30000,0.6634,7.071919191919192e-05
32500,0.5851,6.819494949494951e-05
35000,0.5364,6.567070707070707e-05
37500,0.497,6.314646464646465e-05
40000,0.454,6.062222222222222e-05
42500,0.4187,5.809797979797979e-05
45000,0.3887,5.5574747474747476e-05
47500,0.3585,5.304949494949495e-05
50000,0.3401,5.052525252525253e-05
52500,0.3259,4.80010101010101e-05
55000,0.3077,4.547777777777778e-05
57500,0.2908,4.2952525252525256e-05
60000,0.2772,4.0428282828282834e-05
62500,0.2682,3.7905050505050504e-05
65000,0.2568,3.538080808080808e-05
67500,0.2444,3.285656565656566e-05
70000,0.2317,3.0332323232323235e-05
72500,0.224,2.780808080808081e-05
75000,0.2163,2.5284848484848483e-05
77500,0.2102,2.276060606060606e-05
80000,0.2035,2.0236363636363636e-05
82500,0.1984,1.7713131313131316e-05
85000,0.1936,1.518787878787879e-05
87500,0.188,1.2663636363636364e-05
90000,0.184,1.0138383838383839e-05
92500,0.1802,7.614141414141414e-06
95000,0.1782,5.090909090909091e-06
97500,0.1772,2.566666666666667e-06
100000,0.1768,4.242424242424243e-08
100000,0.6539150901031494,None
