step,loss,lr
1,4.6944,1.0000000000000001e-07
2500,4.4532,9.84858585858586e-05
5000,3.9174,9.596060606060606e-05
7500,3.186,9.343535353535354e-05
10000,2.5622,9.091111111111111e-05
12500,2.0845,8.83868686868687e-05
15000,1.7579,8.586363636363637e-05
17500,1.4741,8.333939393939393e-05
20000,1.3328,8.081414141414143e-05
22500,1.2489,7.829090909090909e-05
25000,1.1363,7.576767676767678e-05
27500,1.0244,7.324242424242425e-05
30000,0.8394,7.071717171717171e-05
32500,0.8106,6.81929292929293e-05
35000,0.7778,6.566969696969697e-05
37500,0.7893,6.314444444444445e-05
40000,0.6502,6.062020202020202e-05
42500,0.6206,5.8095959595959604e-05
45000,0.6157,5.5571717171717175e-05
47500,0.5839,5.304646464646464e-05
50000,0.4649,5.052222222222223e-05
step,loss,lr
1,4.6944,1.0000000000000001e-07
2500,4.4532,9.84858585858586e-05
5000,3.9174,9.596060606060606e-05
7500,3.186,9.343535353535354e-05
10000,2.5622,9.091111111111111e-05
12500,2.0845,8.83868686868687e-05
15000,1.7579,8.586363636363637e-05
17500,1.4741,8.333939393939393e-05
20000,1.3328,8.081414141414143e-05
22500,1.2489,7.829090909090909e-05
25000,1.1363,7.576767676767678e-05
27500,1.0244,7.324242424242425e-05
30000,0.8394,7.071717171717171e-05
32500,0.8106,6.81929292929293e-05
35000,0.7778,6.566969696969697e-05
37500,0.7893,6.314444444444445e-05
40000,0.6502,6.062020202020202e-05
42500,0.6206,5.8095959595959604e-05
45000,0.6157,5.5571717171717175e-05
47500,0.5839,5.304646464646464e-05
50000,0.4649,5.052222222222223e-05
52500,0.5476,4.7997979797979805e-05
55000,0.499,4.5474747474747475e-05
57500,0.4455,4.294949494949495e-05
60000,0.4456,4.0425252525252526e-05
62500,0.4125,3.79020202020202e-05
65000,0.3951,3.537878787878788e-05
67500,0.3749,3.285353535353535e-05
70000,0.3573,3.032929292929293e-05
72500,0.3296,2.7805050505050506e-05
75000,0.3151,2.5280808080808084e-05
77500,0.3098,2.2756565656565655e-05
80000,0.3069,2.0232323232323234e-05
82500,0.3063,1.770909090909091e-05
step,loss,lr
1,4.6944,1.0000000000000001e-07
2500,4.4532,9.84858585858586e-05
5000,3.9174,9.596060606060606e-05
7500,3.186,9.343535353535354e-05
10000,2.5622,9.091111111111111e-05
12500,2.0845,8.83868686868687e-05
15000,1.7579,8.586363636363637e-05
17500,1.4741,8.333939393939393e-05
20000,1.3328,8.081414141414143e-05
22500,1.2489,7.829090909090909e-05
25000,1.1363,7.576767676767678e-05
27500,1.0244,7.324242424242425e-05
30000,0.8394,7.071717171717171e-05
32500,0.8106,6.81929292929293e-05
35000,0.7778,6.566969696969697e-05
37500,0.7893,6.314444444444445e-05
40000,0.6502,6.062020202020202e-05
42500,0.6206,5.8095959595959604e-05
45000,0.6157,5.5571717171717175e-05
47500,0.5839,5.304646464646464e-05
50000,0.4649,5.052222222222223e-05
52500,0.5476,4.7997979797979805e-05
55000,0.499,4.5474747474747475e-05
57500,0.4455,4.294949494949495e-05
60000,0.4456,4.0425252525252526e-05
62500,0.4125,3.79020202020202e-05
65000,0.3951,3.537878787878788e-05
67500,0.3749,3.285353535353535e-05
70000,0.3573,3.032929292929293e-05
72500,0.3296,2.7805050505050506e-05
75000,0.3151,2.5280808080808084e-05
77500,0.3098,2.2756565656565655e-05
80000,0.3069,2.0232323232323234e-05
82500,0.3063,1.770909090909091e-05
85000,0.2986,1.5183838383838383e-05
87500,0.2903,1.265959595959596e-05
90000,0.2811,1.0135353535353535e-05
92500,0.2728,7.611111111111112e-06
95000,0.2656,5.086868686868687e-06
97500,0.2667,2.5626262626262627e-06
100000,0.2657,3.838383838383838e-08
100000,0.9329036181211472,None
