step,loss,lr
1,4.6841,1.0000000000000001e-07
step,loss,lr
1,4.6841,1.0000000000000001e-07
step,loss,lr
1,4.6841,1.0000000000000001e-07
2500,4.3686,9.84858585858586e-05
5000,4.0696,9.596060606060606e-05
7500,3.1632,9.343636363636365e-05
10000,2.235,9.091111111111111e-05
12500,1.567,8.83878787878788e-05
15000,1.1756,8.586464646464647e-05
17500,0.8669,8.334040404040404e-05
20000,0.6499,8.081515151515152e-05
22500,0.501,7.829090909090909e-05
25000,0.4029,7.576666666666667e-05
27500,0.3344,7.324242424242425e-05
30000,0.2892,7.071717171717171e-05
32500,0.2509,6.81929292929293e-05
35000,0.2231,6.566868686868687e-05
37500,0.1997,6.314444444444445e-05
40000,0.1851,6.062020202020202e-05
42500,0.169,5.809696969696971e-05
45000,0.158,5.5571717171717175e-05
47500,0.1458,5.3047474747474747e-05
50000,0.1355,5.0523232323232325e-05
52500,0.1271,4.8e-05
55000,0.1225,4.547575757575758e-05
57500,0.1171,4.295151515151515e-05
60000,0.1114,4.042727272727273e-05
62500,0.1073,3.790303030303031e-05
65000,0.1036,3.537979797979798e-05
67500,0.1,3.2855555555555555e-05
70000,0.0978,3.0331313131313134e-05
72500,0.0953,2.780707070707071e-05
75000,0.0927,2.5283838383838388e-05
77500,0.0899,2.275959595959596e-05
80000,0.089,2.0235353535353535e-05
82500,0.087,1.7711111111111113e-05
85000,0.0856,1.5186868686868688e-05
87500,0.0846,1.2663636363636364e-05
90000,0.0835,1.013939393939394e-05
92500,0.0824,7.6151515151515155e-06
95000,0.0817,5.090909090909091e-06
97500,0.0816,2.566666666666667e-06
100000,0.081,4.343434343434344e-08
100000,0.5752853941869736,None
