step,loss,lr
1,2.3937,1.4285714285714287e-07
step,loss,lr
1,2.3937,1.0000000000000001e-07
step,loss,lr
1,2.3937,1.0000000000000001e-07
2500,2.0264,9.848484848484849e-05
5000,1.6767,9.595959595959596e-05
7500,1.2437,9.343535353535354e-05
10000,0.9724,9.091212121212122e-05
12500,0.7887,8.83878787878788e-05
15000,0.6327,8.586464646464647e-05
17500,0.4898,8.334040404040404e-05
20000,0.4199,8.081616161616162e-05
22500,0.3701,7.82919191919192e-05
25000,0.3285,7.576767676767678e-05
27500,0.2978,7.324343434343435e-05
30000,0.2735,7.071818181818182e-05
32500,0.25,6.819494949494951e-05
35000,0.2304,6.567171717171717e-05
37500,0.2197,6.314646464646465e-05
40000,0.2008,6.0623232323232326e-05
42500,0.1819,5.809797979797979e-05
45000,0.1678,5.557373737373738e-05
47500,0.156,5.304949494949495e-05
50000,0.1465,5.052626262626263e-05
52500,0.138,4.8002020202020204e-05
55000,0.1312,4.547777777777778e-05
57500,0.1254,4.2953535353535354e-05
60000,0.12,4.043030303030304e-05
62500,0.1132,3.7905050505050504e-05
65000,0.1089,3.538080808080808e-05
67500,0.1044,3.285656565656566e-05
70000,0.1009,3.0332323232323235e-05
72500,0.0983,2.780808080808081e-05
75000,0.0954,2.5284848484848483e-05
77500,0.0929,2.276060606060606e-05
80000,0.0906,2.0236363636363636e-05
82500,0.0881,1.7712121212121214e-05
85000,0.0871,1.518787878787879e-05
87500,0.0852,1.2663636363636364e-05
90000,0.0831,1.013939393939394e-05
92500,0.0824,7.616161616161617e-06
95000,0.0815,5.091919191919192e-06
97500,0.0807,2.5676767676767676e-06
100000,0.0802,4.343434343434344e-08
100000,0.3265309378886223,None
